C,label,Cluster 2,,accuaracy,ac2,,,,,,1 hit 20 percent 3000
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,1,0,,1,1,,,,,,1
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,1,0,,1,1,,,,,,1
1,1,0,,1,1,,,,,,1
0,1,1,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,0,1,,1,1,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
0,1,1,,0,0,,,,,,0
1,0,0,,0,0,,,,,,0
0,0,1,,1,1,,,,,,0
